id,origin,pallet_size,length,width,height,weight,distance,goods,fragile,stackable,max_stack_weight,cost,profit
P1,NA,FULL,4,3,4,964,300,Pharmaceuticals,TRUE,FALSE,0,542,1181
P2,NA,FULL,4,3,4,964,300,Pharmaceuticals,TRUE,FALSE,0,542,1391
P3,NA,FULL,4,3,4,964,100,Food,FALSE,TRUE,999,502,1449
P4,NA,FULL,4,3,4,964,300,Food,FALSE,TRUE,397,542,973
P5,NA,FULL,4,3,4,964,300,Pharmaceuticals,TRUE,FALSE,0,542,830
P6,NA,FULL,4,3,4,964,100,Food,FALSE,TRUE,556,502,1154
P7,EU,FULL,4,3,3,827,300,Food,FALSE,TRUE,797,474,1200
P8,NA,FULL,4,3,3,827,900,Food,FALSE,TRUE,411,594,1198
P9,EU,FULL,4,3,3,827,900,Pharmaceuticals,TRUE,FALSE,0,594,1432
P10,NA,FULL,4,3,3,827,300,Food,FALSE,TRUE,906,474,1305
P11,EU,FULL,4,3,3,827,900,Food,FALSE,TRUE,531,594,1751
P12,EU,FULL,4,3,3,827,900,Food,FALSE,TRUE,482,594,1145
P13,EU,FULL,4,3,3,827,900,Pharmaceuticals,TRUE,FALSE,0,594,952
P14,NA,FULL,4,3,8,1316,300,Pharmaceuticals,TRUE,FALSE,0,718,1641
P15,EU,FULL,4,3,8,1316,100,Food,FALSE,TRUE,380,678,1186
P16,EU,FULL,4,3,8,1316,100,Pharmaceuticals,TRUE,FALSE,0,678,1157
P17,NA,FULL,4,3,8,1316,900,Pharmaceuticals,TRUE,FALSE,0,838,1401
P18,NA,FULL,4,3,8,1316,100,Food,FALSE,TRUE,798,678,1945
P19,NA,FULL,4,3,8,1316,100,Food,FALSE,TRUE,434,678,1421
P20,EU,FULL,4,3,8,1316,900,Pharmaceuticals,TRUE,FALSE,0,838,1576
P21,NA,FULL,4,3,8,1316,900,Food,FALSE,TRUE,862,838,2362
P22,NA,FULL,4,3,8,1316,100,Food,FALSE,TRUE,424,678,1311
P23,EU,HALF,2,3,2,58,900,Chemicals,FALSE,TRUE,899,209,375
P24,EU,FULL,4,3,4,185,100,Furniture,FALSE,TRUE,398,112,263
P25,EU,FULL,4,3,3,461,900,Electronics,TRUE,FALSE,0,410,650
P26,NA,FULL,4,3,3,461,300,Electronics,TRUE,FALSE,0,290,637
P27,NA,FULL,4,3,3,461,100,Furniture,FALSE,TRUE,401,250,622
P28,NA,FULL,4,3,4,463,300,Electronics,TRUE,FALSE,0,292,448
P29,NA,FULL,4,3,4,1154,300,Chemicals,FALSE,TRUE,370,637,1624
P30,EU,FULL,4,3,4,1154,100,Furniture,FALSE,TRUE,335,597,1551
P31,EU,FULL,4,3,5,805,100,Chemicals,FALSE,TRUE,960,422,1071
P32,NA,FULL,4,3,5,805,900,Electronics,TRUE,FALSE,0,582,1678
P33,NA,FULL,4,3,5,805,100,Electronics,TRUE,FALSE,0,422,1026
P34,EU,FULL,4,3,5,805,100,Chemicals,FALSE,TRUE,325,422,946
P35,NA,FULL,4,3,5,805,300,Chemicals,FALSE,TRUE,387,462,801
P36,EU,FULL,4,3,5,805,900,Furniture,FALSE,TRUE,303,582,1096
P37,EU,FULL,4,3,5,805,900,Electronics,TRUE,FALSE,0,582,939
P38,NA,FULL,4,3,5,805,900,Chemicals,FALSE,TRUE,958,582,911
P39,EU,FULL,4,3,3,503,900,Food,FALSE,TRUE,936,432,1126
P40,EU,FULL,4,3,3,503,900,Pharmaceuticals,TRUE,FALSE,0,432,950
P41,NA,FULL,4,3,3,503,100,Pharmaceuticals,TRUE,FALSE,0,272,753
P42,EU,FULL,4,3,3,503,900,Pharmaceuticals,TRUE,FALSE,0,432,698
P43,NA,FULL,4,3,3,503,300,Food,FALSE,TRUE,849,312,861
P44,EU,FULL,4,3,3,503,900,Food,FALSE,TRUE,802,432,948
P45,EU,FULL,4,3,3,503,100,Food,FALSE,TRUE,826,272,734
P46,EU,FULL,4,3,3,503,300,Food,FALSE,TRUE,913,312,504
P47,NA,FULL,4,3,6,520,100,Furniture,FALSE,TRUE,405,280,777
P48,NA,FULL,4,3,7,685,100,Furniture,FALSE,TRUE,650,362,614
P49,EU,FULL,4,3,7,685,100,Furniture,FALSE,TRUE,871,362,755
P50,NA,FULL,4,3,7,685,900,Chemicals,FALSE,TRUE,431,522,1237
P51,NA,FULL,4,3,7,685,900,Electronics,TRUE,FALSE,0,522,1451
P52,NA,FULL,4,3,7,685,900,Furniture,FALSE,TRUE,547,522,1515
P53,EU,FULL,4,3,4,1020,900,Pharmaceuticals,TRUE,FALSE,0,690,1686
P54,EU,FULL,4,3,4,1020,300,Pharmaceuticals,TRUE,FALSE,0,570,1466
P55,EU,FULL,4,3,4,1020,100,Food,FALSE,TRUE,797,530,1072
P56,NA,FULL,4,3,4,1020,900,Pharmaceuticals,TRUE,FALSE,0,690,1232
P57,EU,FULL,4,3,4,1020,900,Food,FALSE,TRUE,311,690,1426
P58,EU,FULL,4,3,5,814,100,Food,FALSE,TRUE,550,427,1279
P59,EU,FULL,4,3,5,814,300,Pharmaceuticals,TRUE,FALSE,0,467,828
P60,EU,FULL,4,3,6,325,900,Chemicals,FALSE,TRUE,442,342,521
P61,EU,FULL,4,3,6,325,900,Furniture,FALSE,TRUE,723,342,788
P62,EU,FULL,4,3,6,325,900,Furniture,FALSE,TRUE,734,342,668
P63,EU,FULL,4,3,6,325,300,Electronics,TRUE,FALSE,0,222,358
P64,NA,FULL,4,3,6,325,300,Electronics,TRUE,FALSE,0,222,569
P65,EU,FULL,4,3,6,325,300,Furniture,FALSE,TRUE,802,222,454
P66,EU,FULL,4,3,6,325,900,Chemicals,FALSE,TRUE,906,342,692
P67,EU,FULL,4,3,6,325,300,Electronics,TRUE,FALSE,0,222,381
P68,EU,FULL,4,3,6,325,900,Furniture,FALSE,TRUE,757,342,844
P69,EU,FULL,4,3,6,325,300,Electronics,TRUE,FALSE,0,222,600
P70,EU,FULL,4,3,6,325,300,Furniture,FALSE,TRUE,507,222,611
P71,NA,FULL,4,3,6,325,100,Furniture,FALSE,TRUE,892,182,513
P72,NA,FULL,4,3,6,325,100,Chemicals,FALSE,TRUE,757,182,331
P73,NA,FULL,4,3,6,325,900,Chemicals,FALSE,TRUE,619,342,650
P74,EU,FULL,4,3,6,325,900,Chemicals,FALSE,TRUE,924,342,829
P75,NA,FULL,4,3,6,325,300,Furniture,FALSE,TRUE,386,222,648
P76,EU,FULL,4,3,6,325,900,Furniture,FALSE,TRUE,847,342,985
P77,NA,FULL,4,3,6,325,300,Electronics,TRUE,FALSE,0,222,528
P78,NA,FULL,4,3,6,325,100,Chemicals,FALSE,TRUE,785,182,484
P79,EU,FULL,4,3,6,325,100,Chemicals,FALSE,TRUE,999,182,504
P80,NA,FULL,4,3,6,325,900,Chemicals,FALSE,TRUE,390,342,888
P81,NA,FULL,4,3,6,325,100,Electronics,TRUE,FALSE,0,182,352
P82,EU,FULL,4,3,6,325,100,Chemicals,FALSE,TRUE,602,182,427
P83,EU,FULL,4,3,6,325,100,Furniture,FALSE,TRUE,761,182,454
P84,EU,FULL,4,3,6,325,900,Chemicals,FALSE,TRUE,554,342,645
P85,EU,FULL,4,3,6,325,100,Electronics,TRUE,FALSE,0,182,506
P86,NA,FULL,4,3,6,325,100,Furniture,FALSE,TRUE,599,182,375
P87,NA,FULL,4,3,6,325,300,Electronics,TRUE,FALSE,0,222,426
P88,EU,FULL,4,3,6,325,900,Furniture,FALSE,TRUE,452,342,594
P89,EU,FULL,4,3,6,325,100,Furniture,FALSE,TRUE,835,182,382
P90,NA,FULL,4,3,6,325,900,Electronics,TRUE,FALSE,0,342,766
P91,NA,FULL,4,3,6,325,100,Electronics,TRUE,FALSE,0,182,335
P92,EU,FULL,4,3,6,325,900,Chemicals,FALSE,TRUE,561,342,615
P93,EU,FULL,4,3,6,325,300,Furniture,FALSE,TRUE,775,222,388
P94,EU,FULL,4,3,6,325,100,Furniture,FALSE,TRUE,943,182,363
P95,NA,FULL,4,3,6,325,100,Furniture,FALSE,TRUE,945,182,383
P96,EU,FULL,4,3,6,325,100,Furniture,FALSE,TRUE,331,182,423
P97,EU,FULL,4,3,6,325,100,Furniture,FALSE,TRUE,533,182,286
P98,NA,FULL,4,3,6,325,300,Electronics,TRUE,FALSE,0,222,481
P99,EU,FULL,4,3,6,325,100,Furniture,FALSE,TRUE,768,182,539
P100,EU,FULL,4,3,6,325,900,Chemicals,FALSE,TRUE,570,342,944
