id,origin,pallet_size,length,width,height,weight,distance,goods,fragile,stackable,max_stack_weight,cost,profit
P1,EU,FULL,4,3,4,309,100,Food,FALSE,TRUE,825,210,482
P2,NA,QUARTER,2,2,4,651,100,Pharmaceuticals,TRUE,FALSE,35,261,1040
P3,EU,FULL,4,3,6,929,300,Furniture,FALSE,TRUE,699,677,1466
P4,NA,HALF,2,3,5,868,100,Electronics,TRUE,FALSE,13,324,1868
P5,EU,HALF,2,3,5,569,900,Electronics,TRUE,FALSE,66,612,994
P6,EU,HALF,2,3,6,620,900,Furniture,FALSE,TRUE,708,612,1755
P7,EU,QUARTER,2,1,6,189,300,Furniture,FALSE,TRUE,766,351,293
P8,NA,FULL,4,3,5,291,900,Furniture,FALSE,TRUE,350,471,664
P9,NA,FULL,4,3,3,521,100,Pharmaceuticals,TRUE,FALSE,91,261,1164
P10,NA,FULL,4,3,5,595,300,Food,FALSE,TRUE,947,495,1148
P11,NA,QUARTER,2,2,4,430,100,Pharmaceuticals,TRUE,FALSE,72,210,1235
P12,NA,FULL,4,3,3,908,900,Furniture,FALSE,TRUE,874,754,2202
P13,NA,FULL,4,3,4,248,100,Chemicals,FALSE,FALSE,426,181,569
P14,NA,HALF,2,3,3,955,100,Pharmaceuticals,TRUE,FALSE,90,387,2801
P15,NA,HALF,2,3,4,816,100,Chemicals,TRUE,FALSE,21,324,1584
P16,EU,HALF,2,3,3,534,300,Electronics,TRUE,FALSE,89,495,1429
P17,EU,FULL,4,3,4,641,300,Pharmaceuticals,TRUE,FALSE,37,495,1506
P18,EU,HALF,2,3,3,712,100,Food,FALSE,TRUE,721,324,1345
P19,NA,QUARTER,2,2,6,848,900,Food,FALSE,TRUE,570,704,2477
P20,EU,FULL,4,3,5,949,900,Pharmaceuticals,TRUE,FALSE,7,754,2723
