description,pallets,weight,cube
REFRIGERATED,6,5786,292.2
REFRIGERATED,7,5786,283.3
REFRIGERATED,9,11844,810
DRY CARGO,1,58,14.4
GENERAL CARGO,1,185,42.2
DRY PRODUCTS,3,1382,118.8
DRY PRODUCTS,1,463,44.4
DRY PRODUCTS,2,2308,100
DRY PRODUCTS,8,6439,512.2
FROZEN PRODUCTS,8,4023,315.5
DRY PRODUCTS,1,520,71.1
GENERAL CARGO,5,3423,400
FROZEN PRODUCTS,5,5098,216.6
GROCERY ITEMS,2,1628,116.6
DRY CARGO,50,16257,3437.7
REFRIGERATED,2,993,48.8
DRY PRODUCTS,8,2401,414.4
DRY PRODUCTS,2,2179,44.4
GENERAL CARGO,1,71,20
GROCERY ITEMS,4,2633,166.6
GENERAL CARGO,1,53,21.1
GROCERY ITEMS,4,5075,164.4
DRY CARGO,1,176,15.5
GROCERY ITEMS,33,7404,1215.5
GROCERY ITEMS,4,6720,153.3
DRY PRODUCTS,2,280,102.2
GROCERY ITEMS,1,349,30
DRY PRODUCTS,3,2166,108.8
DRY GROCERY,1,333,33.3
GROCERY ITEMS,1,331,153.3
DRY PRODUCTS,16,10303,645.5
FROZEN PRODUCTS,3,3750,198.8
REFRIGERATED,1,852,38.8
DRY PRODUCTS,58,20183,2116.6
GENERAL CARGO,1,426,45.5
GENERAL CARGO,9,11481,308.8
GENERAL CARGO,3,1004,107.7
GENERAL CARGO,2,2470,136.6
GENERAL CARGO,1,742,26.6
GENERAL CARGO,1,1613,72.2
GENERAL CARGO,2,1812,110
GENERAL CARGO,2,1079,121.1
GENERAL CARGO,3,1928,104.4
GENERAL CARGO,3,2469,171.1
GENERAL CARGO,5,1966,226.6
GENERAL CARGO,3,2060,90
GENERAL CARGO,2,945,136.6
GENERAL CARGO,5,639,213.3
GENERAL CARGO,3,2124,98.8
GENERAL CARGO,2,1880,77.7
GENERAL CARGO,4,1752,146.6
GENERAL CARGO,1,732,37.7
GENERAL CARGO,3,1191,137.7
GENERAL CARGO,4,183,222.2
GENERAL CARGO,3,1384,88.8
GENERAL CARGO,1,114,18.8
GENERAL CARGO,2,1332,68.8
GENERAL CARGO,2,1258,130
GENERAL CARGO,2,2083,131.1
REFRIGERATED,18,9833,1028.8
FROZEN,4,3264,362.2
GROCERY ITEMS,6,7194,382.2
FROZEN PRODUCTS,1,612,62.2
FROZEN PASTA,1,951,52.2
GROCERY ITEMS,1,149,21.1
GENERAL CARGO,20,4000,1376.6
FROZEN PRODUCTS,7,4420,311.1
REFRIGERATED,10,11359,932.2
REFRIGERATED,15,22399,1041.1
GENERAL CARGO,30,10773,3166.6
REFRIGERATED,1,548,27.7
REFRIGERATED,1,344,20
REFRIGERATED,1,493,20
REFRIGERATED,7,6839,230.9
VENTS,1,118,22.2
DRY GROCERY,1,54,17.7
GENERAL CARGO,1,220,54.4
GROCERY ITEMS,9,21163,540
DRY CARGO,2,1242,113.7
GROCERY ITEMS,22,38744,1613.3
DRY CARGO,5,6940,290
REFRIGERATED,2,3479,117.7
FROZEN PRODUCTS,25,14831,726.6
FROZEN PRODUCTS,1,85,15.5
FROZEN MEAT,4,1094.87,65
GROCERY STORE,2,1058,33.3
GENERAL CARGO,3,2072,154.4
GENERAL CARGO,1,214,22.2
FROZEN PRODUCTS,2,2380,170
GENERAL CARGO,2,687,118.8
GENERAL CARGO,9,3565,680
GENERAL CARGO,1,169,34.4
FOOD COLORING,1,56,13.3
CHOCOLATES,12,7566,533.3
GROCERY ITEMS,2,1860,140
FROZEN PRODUCTS,5,4408,472.2
CHARCOAL,3,1057,118.8
REFRIGERATED,4,6452,156.6
GROCERY ITEMS,26,13755,971.1
REFRIGERATED,13,16525,501.1
DRY GROCERY,1,1357,70
REFRIGERATED,17,6517,842.2
GENERAL CARGO,3,3435,208.88
FROZEN PRODUCTS,23,8598,1070
FROZEN,8,10475,542.2
GENERAL CARGO,1,49,15.5
REFRIGERATED,3,5287,197.7
GENERAL CARGO,6,10373,428.8
REFRIGERATED,1,150,27.7
GROCERY ITEMS,1,361,51.1
GENERAL CARGO,6,3361,414.4
REFRIGERATED,4,3252,140
REFRIGERATED,16,20664,932.2
GENERAL CARGO,2,1487,145.5
GENERAL CARGO,20,13162,1990
GROCERY ITEMS,4,1671,148.8
FROZEN PRODUCTS,1,888,80
GROCERY ITEMS,1,1820,48.8
DRY PRODUCTS,8,5771,482.2
REFRIGERATED,4,174,108.8
REFRIGERATED,42,32483,2312.2
REFRIGERATED,9,6706,502.2
GROCERY ITEMS,7,13388,404.4
GENERAL CARGO,27,14315,1370
GENERAL CARGO,3,2565,152.2
REFRIGERATED,22,35678,1100
