id,origin,pallet_size,length,width,height,weight,distance,goods,fragile,stackable,max_stack_weight,cost,profit
P1,NA,FULL,4,3,4,964,300,Pharmaceuticals,TRUE,FALSE,0,542,1181
P2,NA,FULL,4,3,4,964,300,Pharmaceuticals,TRUE,FALSE,0,542,1391
P3,NA,FULL,4,3,4,964,100,Food,FALSE,TRUE,999,502,1449
P4,NA,FULL,4,3,4,964,300,Food,FALSE,TRUE,397,542,973
P5,NA,FULL,4,3,4,964,300,Pharmaceuticals,TRUE,FALSE,0,542,830
P6,NA,FULL,4,3,4,964,100,Food,FALSE,TRUE,556,502,1154
P7,EU,FULL,4,3,3,827,300,Food,FALSE,TRUE,797,474,1200
P8,NA,FULL,4,3,3,827,900,Food,FALSE,TRUE,411,594,1198
P9,EU,FULL,4,3,3,827,900,Pharmaceuticals,TRUE,FALSE,0,594,1432
P10,NA,FULL,4,3,3,827,300,Food,FALSE,TRUE,906,474,1305
P11,EU,FULL,4,3,3,827,900,Food,FALSE,TRUE,531,594,1751
P12,EU,FULL,4,3,3,827,900,Food,FALSE,TRUE,482,594,1145
P13,EU,FULL,4,3,3,827,900,Pharmaceuticals,TRUE,FALSE,0,594,952
P14,NA,FULL,4,3,8,1316,300,Pharmaceuticals,TRUE,FALSE,0,718,1641
P15,EU,FULL,4,3,8,1316,100,Food,FALSE,TRUE,380,678,1186
P16,EU,FULL,4,3,8,1316,100,Pharmaceuticals,TRUE,FALSE,0,678,1157
P17,NA,FULL,4,3,8,1316,900,Pharmaceuticals,TRUE,FALSE,0,838,1401
P18,NA,FULL,4,3,8,1316,100,Food,FALSE,TRUE,798,678,1945
P19,NA,FULL,4,3,8,1316,100,Food,FALSE,TRUE,434,678,1421
P20,EU,FULL,4,3,8,1316,900,Pharmaceuticals,TRUE,FALSE,0,838,1576
P21,NA,FULL,4,3,8,1316,900,Food,FALSE,TRUE,862,838,2362
P22,NA,FULL,4,3,8,1316,100,Food,FALSE,TRUE,424,678,1311
P23,EU,HALF,2,3,2,58,900,Chemicals,FALSE,TRUE,899,209,375
P24,EU,FULL,4,3,4,185,100,Furniture,FALSE,TRUE,398,112,263
P25,EU,FULL,4,3,3,461,900,Electronics,TRUE,FALSE,0,410,650
P26,NA,FULL,4,3,3,461,300,Electronics,TRUE,FALSE,0,290,637
P27,NA,FULL,4,3,3,461,100,Furniture,FALSE,TRUE,401,250,622
P28,NA,FULL,4,3,4,463,300,Electronics,TRUE,FALSE,0,292,448
P29,NA,FULL,4,3,4,1154,300,Chemicals,FALSE,TRUE,370,637,1624
P30,EU,FULL,4,3,4,1154,100,Furniture,FALSE,TRUE,335,597,1551
P31,EU,FULL,4,3,5,805,100,Chemicals,FALSE,TRUE,960,422,1071
P32,NA,FULL,4,3,5,805,900,Electronics,TRUE,FALSE,0,582,1678
P33,NA,FULL,4,3,5,805,100,Electronics,TRUE,FALSE,0,422,1026
P34,EU,FULL,4,3,5,805,100,Chemicals,FALSE,TRUE,325,422,946
P35,NA,FULL,4,3,5,805,300,Chemicals,FALSE,TRUE,387,462,801
P36,EU,FULL,4,3,5,805,900,Furniture,FALSE,TRUE,303,582,1096
P37,EU,FULL,4,3,5,805,900,Electronics,TRUE,FALSE,0,582,939
P38,NA,FULL,4,3,5,805,900,Chemicals,FALSE,TRUE,958,582,911
P39,EU,FULL,4,3,3,503,900,Food,FALSE,TRUE,936,432,1126
P40,EU,FULL,4,3,3,503,900,Pharmaceuticals,TRUE,FALSE,0,432,950
P41,NA,FULL,4,3,3,503,100,Pharmaceuticals,TRUE,FALSE,0,272,753
P42,EU,FULL,4,3,3,503,900,Pharmaceuticals,TRUE,FALSE,0,432,698
P43,NA,FULL,4,3,3,503,300,Food,FALSE,TRUE,849,312,861
P44,EU,FULL,4,3,3,503,900,Food,FALSE,TRUE,802,432,948
P45,EU,FULL,4,3,3,503,100,Food,FALSE,TRUE,826,272,734
P46,EU,FULL,4,3,3,503,300,Food,FALSE,TRUE,913,312,504
P47,NA,FULL,4,3,6,520,100,Furniture,FALSE,TRUE,405,280,777
P48,NA,FULL,4,3,7,685,100,Furniture,FALSE,TRUE,650,362,614
P49,EU,FULL,4,3,7,685,100,Furniture,FALSE,TRUE,871,362,755
