id,origin,pallet_size,length,width,height,weight,distance,goods,fragile,stackable,max_stack_weight,cost,profit
P1,EU,FULL,4,3,4,309,100,Food,False,True,825,210,482
P2,NA,QUARTER,2,2,4,651,100,Pharmaceuticals,True,False,35,261,1040
P3,EU,FULL,4,3,6,929,300,Furniture,False,True,699,677,1466
P4,NA,HALF,2,3,5,868,100,Electronics,True,False,13,324,1868
P5,EU,HALF,2,3,5,569,900,Electronics,True,False,66,612,994
P6,EU,HALF,2,3,6,620,900,Furniture,False,True,708,612,1755
P7,EU,QUARTER,2,1,6,189,300,Furniture,False,True,766,351,293
P8,NA,FULL,4,3,5,291,900,Furniture,False,True,350,471,664
P9,NA,FULL,4,3,3,521,100,Pharmaceuticals,True,False,91,261,1164
P10,NA,FULL,4,3,5,595,300,Food,False,True,947,495,1148
P11,NA,QUARTER,2,2,4,430,100,Pharmaceuticals,True,False,72,210,1235
P12,NA,FULL,4,3,3,908,900,Furniture,False,True,874,754,2202
P13,NA,FULL,4,3,4,248,100,Chemicals,False,False,426,181,569
P14,NA,HALF,2,3,3,955,100,Pharmaceuticals,True,False,90,387,2801
P15,NA,HALF,2,3,4,816,100,Chemicals,True,False,21,324,1584
P16,EU,HALF,2,3,3,534,300,Electronics,True,False,89,495,1429
P17,EU,FULL,4,3,4,641,300,Pharmaceuticals,True,False,37,495,1506
P18,EU,HALF,2,3,3,712,100,Food,False,True,721,324,1345
P19,NA,QUARTER,2,2,6,848,900,Food,False,True,570,704,2477
P20,EU,FULL,4,3,5,949,900,Pharmaceuticals,True,False,7,754,2723
P21,EU,HALF,2,3,5,417,100,Furniture,False,True,308,210,965
P22,EU,QUARTER,2,1,5,712,100,Furniture,False,True,585,324,1593
P23,EU,QUARTER,2,1,4,631,900,Pharmaceuticals,True,False,37,612,1012
P24,EU,FULL,4,3,5,874,100,Chemicals,False,False,315,324,2620
P25,NA,FULL,4,3,5,668,900,Chemicals,True,False,35,612,1640
P26,NA,QUARTER,2,2,4,987,300,Pharmaceuticals,True,False,52,677,1943
P27,EU,FULL,4,3,3,202,100,Electronics,True,False,94,181,522
